Time \ Tag,Ma_R4715_SSTEP,Ma_R4715_Pevent,Ma_R4715_PO_Tot,Ma_R4715_MPG_Tot,Ma_R4715_Gly_Tot,Ma_R4715_Cat_Tot,Ma_R4715_EPT_Tot
18-Aug-2015 00:01:00,4,107.67,0,0,0,0,
18-Aug-2015 00:02:00,4,107.81,0,0,0,0,
18-Aug-2015 00:03:00,4,107.94,0,0,0,0,
18-Aug-2015 00:04:00,4,108.08,0,0,0,0,
18-Aug-2015 00:05:00,4,108.22,0,0,0,0,
18-Aug-2015 00:06:00,4,108.36,0,0,0,0,
18-Aug-2015 00:07:00,4,108.49,0,0,0,0,
18-Aug-2015 00:08:00,4,108.63,0,0,0,0,
18-Aug-2015 00:09:00,4,108.77,0,0,0,0,
18-Aug-2015 00:10:00,4,108.9,0,0,0,0,
18-Aug-2015 00:11:00,4,109.04,0,0,0,0,
18-Aug-2015 00:12:00,4,109.18,0,0,0,0,
18-Aug-2015 00:13:00,4,109.31,0,0,0,0,
18-Aug-2015 00:14:00,4,109.45,0,0,0,0,
18-Aug-2015 00:15:00,4,109.59,0,0,0,0,
18-Aug-2015 00:16:00,4,109.73,0,0,0,0,
18-Aug-2015 00:17:00,4,109.86,0,0,0,0,
18-Aug-2015 00:18:00,5,110,0,0,0,0,
18-Aug-2015 00:19:00,5,110.03,0,0,0,0,
18-Aug-2015 00:20:00,5,110.07,0,0,0,0,
18-Aug-2015 00:21:00,5,110.1,0,0,0,0.00250639,
18-Aug-2015 00:22:00,5,110.13,0,0,0,0.00251971,
18-Aug-2015 00:23:00,5,110.17,0,0,0,0.00251971,
18-Aug-2015 00:24:00,5,110.2,0,0,0,0.00251971,
18-Aug-2015 00:25:00,5,110.23,0,0,0,0.00251971,
18-Aug-2015 00:26:00,5,110.27,0,0,0,0.00251971,
18-Aug-2015 00:27:00,5,110.3,0,0,0,0.00251971,
18-Aug-2015 00:28:00,5,110.33,0,0,0,0.00251971,
18-Aug-2015 00:29:00,5,110.37,0,0,0,0.00251971,
18-Aug-2015 00:30:00,5,110.4,0,0,0,0.00251971,
18-Aug-2015 00:31:00,5,110.43,0,0,0,0.01091642,
18-Aug-2015 00:32:00,5,110.47,0,0,0,0.01096554,
18-Aug-2015 00:33:00,5,110.5,0,0,0,0.01096554,
18-Aug-2015 00:34:00,5,110.53,0,0,0,0.01096554,
18-Aug-2015 00:35:00,5,110.57,0,0,0,0.01096554,
18-Aug-2015 00:36:00,5,110.6,0,0,0,0.01096554,
18-Aug-2015 00:37:00,5,110.63,0,0,0,0.01096554,
18-Aug-2015 00:38:00,5,110.67,0,0,0,0.01096554,
18-Aug-2015 00:39:00,5,110.7,0,0,0,0.01096554,
18-Aug-2015 00:40:00,5,110.73,0,0,0,0.01096554,
18-Aug-2015 00:41:00,5,110.77,0,0,0,0.01923073,
18-Aug-2015 00:42:00,5,110.8,0,0,0,0.01928396,
18-Aug-2015 00:43:00,5,110.83,0,0,0,0.01928396,
18-Aug-2015 00:44:00,5,110.87,0,0,0,0.01928396,
18-Aug-2015 00:45:00,5,110.9,0,0,0,0.01928396,
18-Aug-2015 00:46:00,5,110.93,0,0,0,0.01928396,
18-Aug-2015 00:47:00,5,110.97,0,0,0,0.01928396,
18-Aug-2015 00:48:00,5,111,0,0,0,0.01928396,
18-Aug-2015 00:49:00,5,111.03,0,0,0,0.01928396,
18-Aug-2015 00:50:00,5,111.07,0,0,0,0.01928396,
18-Aug-2015 00:51:00,5,111.1,0,0,0,0.02753231,
18-Aug-2015 00:52:00,5,111.13,0,0,0,0.02759032,
18-Aug-2015 00:53:00,5,111.17,0,0,0,0.02759032,
18-Aug-2015 00:54:00,5,111.2,0,0,0,0.02759032,
18-Aug-2015 00:55:00,5,111.23,0,0,0,0.02759032,
18-Aug-2015 00:56:00,5,111.27,0,0,0,0.02759032,
18-Aug-2015 00:57:00,5,111.3,0,0,0,0.02759032,
18-Aug-2015 00:58:00,5,111.33,0,0,0,0.02759032,
18-Aug-2015 00:59:00,5,111.37,0,0,0,0.02759032,
18-Aug-2015 01:00:00,5,111.4,0,0,0,0.02759032,
18-Aug-2015 01:01:00,5,111.43,0,0,0,0.03570893,
18-Aug-2015 01:02:00,5,111.47,0,0,0,0.03575725,
18-Aug-2015 01:03:00,5,111.5,0,0,0,0.03575725,
18-Aug-2015 01:04:00,5,111.53,0,0,0,0.03575725,
18-Aug-2015 01:05:00,5,111.57,0,0,0,0.03575725,
18-Aug-2015 01:06:00,5,111.6,0,0,0,0.03575725,
18-Aug-2015 01:07:00,5,111.63,0,0,0,0.03575725,
18-Aug-2015 01:08:00,5,111.67,0,0,0,0.03575725,
18-Aug-2015 01:09:00,5,111.7,0,0,0,0.03575725,
18-Aug-2015 01:10:00,5,111.73,0,0,0,0.03575725,
18-Aug-2015 01:11:00,5,111.77,0,0,0,0.04388415,
18-Aug-2015 01:12:00,5,111.8,0,0,0,0.04393745,
18-Aug-2015 01:13:00,5,111.83,0,0,0,0.04393745,
18-Aug-2015 01:14:00,5,111.87,0,0,0,0.04393745,
18-Aug-2015 01:15:00,5,111.9,0,0,0,0.04393745,
18-Aug-2015 01:16:00,5,111.93,0,0,0,0.04393745,
18-Aug-2015 01:17:00,5,111.97,0,0,0,0.04393745,
18-Aug-2015 01:18:00,6,112,0,0,0,0.04393745,
18-Aug-2015 01:19:00,6,112.02,0,0,0,0.04393745,
18-Aug-2015 01:20:00,6,112.04,0,0,0,0.04393745,
18-Aug-2015 01:21:00,6,112.07,0,0,0,0.04961926,
18-Aug-2015 01:22:00,6,112.09,0,0,0,0.04965989,
18-Aug-2015 01:23:00,6,112.11,0,0,0,0.04965989,
18-Aug-2015 01:24:00,6,112.13,0,0,0,0.04965989,
18-Aug-2015 01:25:00,6,112.16,0,0,0,0.04965989,
18-Aug-2015 01:26:00,6,112.18,0,0,0,0.04965989,
18-Aug-2015 01:27:00,6,112.2,0,0,0,0.04965989,
18-Aug-2015 01:28:00,6,112.22,0,0,0,0.04965989,
18-Aug-2015 01:29:00,6,112.24,0,0,0,0.04965989,
18-Aug-2015 01:30:00,6,112.27,0,0,0,0.04965989,
18-Aug-2015 01:31:00,6,112.29,0,0,0,0.04965989,
18-Aug-2015 01:32:00,6,112.31,0,0,0,0.04965989,
18-Aug-2015 01:33:00,6,112.33,0,0,0,0.04965989,
18-Aug-2015 01:34:00,6,112.36,0,0,0,0.04965989,
18-Aug-2015 01:35:00,6,112.38,0,0,0,0.04965989,
18-Aug-2015 01:36:00,6,112.4,0,0,0,0.04965989,
18-Aug-2015 01:37:00,6,112.42,0,0,0,0.04965989,
18-Aug-2015 01:38:00,6,112.44,0,0,0,0.04965989,
18-Aug-2015 01:39:00,6,112.47,0,0,0,0.04965989,
18-Aug-2015 01:40:00,6,112.49,0,0,0,0.04965989,
18-Aug-2015 01:41:00,6,112.51,0,0,0,0.04965989,
18-Aug-2015 01:42:00,6,112.53,0,0,0,0.04965989,
18-Aug-2015 01:43:00,6,112.56,0,0,0,0.04965989,
18-Aug-2015 01:44:00,6,112.58,0,0,0,0.04965989,
18-Aug-2015 01:45:00,6,112.6,0,0,0,0.04965989,
18-Aug-2015 01:46:00,6,112.62,0,0,0,0.04965989,
18-Aug-2015 01:47:00,6,112.64,0,0,0,0.04965989,
18-Aug-2015 01:48:00,6,112.67,0,0,0,0.04965989,
18-Aug-2015 01:49:00,6,112.69,0,0,0,0.04965989,
18-Aug-2015 01:50:00,6,112.71,0,0,0,0.04965989,
18-Aug-2015 01:51:00,6,112.73,0,0,0,0.04965989,
18-Aug-2015 01:52:00,6,112.76,0,0,0,0.04965989,
18-Aug-2015 01:53:00,6,112.78,0,0,0,0.04965989,
18-Aug-2015 01:54:00,6,112.8,0,0,0,0.04965989,
18-Aug-2015 01:55:00,6,112.82,0,0,0,0.04965989,
18-Aug-2015 01:56:00,6,112.84,0,0,0,0.04965989,
18-Aug-2015 01:57:00,6,112.87,0,0,0,0.04965989,
18-Aug-2015 01:58:00,6,112.89,0,0,0,0.04965989,
18-Aug-2015 01:59:00,6,112.91,0,0,0,0.04965989,
18-Aug-2015 02:00:00,6,112.93,0,0,0,0.04965989,
18-Aug-2015 02:01:00,6,112.96,0,0,0,0.04965989,
18-Aug-2015 02:02:00,6,112.98,0,0,0,0.04965989,
18-Aug-2015 02:03:00,6,113,0,0,0,0.04965989,
18-Aug-2015 02:04:00,6,113.02,0,0,0,0.04965989,
18-Aug-2015 02:05:00,6,113.04,0,0,0,0.04965989,
18-Aug-2015 02:06:00,6,113.07,0,0,0,0.04965989,
18-Aug-2015 02:07:00,6,113.09,0,0,0,0.04965989,
18-Aug-2015 02:08:00,6,113.11,0,0,0,0.04965989,
18-Aug-2015 02:09:00,6,113.13,0,0,0,0.04965989,
18-Aug-2015 02:10:00,6,113.16,0,0,0,0.04965989,
18-Aug-2015 02:11:00,6,113.18,0,0,0,0.04965989,
18-Aug-2015 02:12:00,6,113.2,0,0,0,0.04965989,
18-Aug-2015 02:13:00,6,113.22,0,0,0,0.04965989,
18-Aug-2015 02:14:00,6,113.24,0,0,0,0.04965989,
18-Aug-2015 02:15:00,6,113.27,0,0,0,0.04965989,
18-Aug-2015 02:16:00,6,113.29,0,0,0,0.04965989,
18-Aug-2015 02:17:00,6,113.31,0,0,0,0.04965989,
18-Aug-2015 02:18:00,6,113.33,0,0,0,0.04965989,
18-Aug-2015 02:19:00,6,113.36,0,0,0,0.04965989,
18-Aug-2015 02:20:00,6,113.38,0,0,0,0.04965989,
18-Aug-2015 02:21:00,6,113.4,0,0,0,0.04965989,
18-Aug-2015 02:22:00,6,113.42,0,0,0,0.04965989,
18-Aug-2015 02:23:00,6,113.44,0,0,0,0.04965989,
18-Aug-2015 02:24:00,6,113.47,0,0,0,0.04965989,
18-Aug-2015 02:25:00,6,113.49,0,0,0,0.04965989,
18-Aug-2015 02:26:00,6,113.51,0,0,0,0.04965989,
18-Aug-2015 02:27:00,6,113.53,0,0,0,0.04965989,
18-Aug-2015 02:28:00,6,113.56,0,0,0,0.04965989,
18-Aug-2015 02:29:00,6,113.58,0,0,0,0.04965989,
18-Aug-2015 02:30:00,6,113.6,0,0,0,0.04965989,
18-Aug-2015 02:31:00,6,113.62,0,0,0,0.04965989,
18-Aug-2015 02:32:00,6,113.64,0,0,0,0.04965989,
18-Aug-2015 02:33:00,6,113.67,0,0,0,0.04965989,
18-Aug-2015 02:34:00,6,113.69,0,0,0,0.04965989,
18-Aug-2015 02:35:00,6,113.71,0,0,0,0.04965989,
18-Aug-2015 02:36:00,6,113.73,0,0,0,0.04965989,
18-Aug-2015 02:37:00,6,113.76,0,0,0,0.04965989,
18-Aug-2015 02:38:00,6,113.78,0,0,0,0.04965989,
18-Aug-2015 02:39:00,6,113.8,0,0,0,0.04965989,
18-Aug-2015 02:40:00,6,113.82,0,0,0,0.04965989,
18-Aug-2015 02:41:00,6,113.84,0,0,0,0.04965989,
18-Aug-2015 02:42:00,6,113.87,0,0,0,0.04965989,
18-Aug-2015 02:43:00,6,113.89,0,0,0,0.04965989,
18-Aug-2015 02:44:00,6,113.91,0,0,0,0.04965989,
18-Aug-2015 02:45:00,6,113.93,0,0,0,0.04965989,
18-Aug-2015 02:46:00,6,113.96,0,0,0,0.04965989,
18-Aug-2015 02:47:00,6,113.98,0,0,0,0.04965989,
18-Aug-2015 02:48:00,6.99626684,114,0,0,0,0.04965989,
18-Aug-2015 02:49:00,7,114.04,0,0,0,0.04965989,
18-Aug-2015 02:50:00,7,114.08,0,0,0,0.04965989,
18-Aug-2015 02:51:00,7,114.12,0,0,0,0.04965989,
18-Aug-2015 02:52:00,7,114.16,0,0,0,0.04965989,
18-Aug-2015 02:53:00,7,114.2,0,0,0,0.04965989,
18-Aug-2015 02:54:00,7,114.24,0,0,0,0.04965989,
18-Aug-2015 02:55:00,7,114.28,0,0,0,0.04965989,
18-Aug-2015 02:56:00,7,114.32,0,0,0,0.04965989,
18-Aug-2015 02:57:00,7,114.36,0,0,0,0.04965989,
18-Aug-2015 02:58:00,7,114.39,0,0,0,0.04965989,
18-Aug-2015 02:59:00,7,114.43,0,0,0,0.04965989,
18-Aug-2015 03:00:00,7,114.47,0,0,0,0.04965989,
18-Aug-2015 03:01:00,7,114.51,0,0,0,0.04965989,
18-Aug-2015 03:02:00,7,114.55,0,0,0,0.04965989,
18-Aug-2015 03:03:00,7,114.59,0,0,0,0.04965989,
18-Aug-2015 03:04:00,7,114.63,0,0,0,0.04965989,
18-Aug-2015 03:05:00,7,114.67,0,0,0,0.04965989,
18-Aug-2015 03:06:00,7,114.71,0,0,0,0.04965989,
18-Aug-2015 03:07:00,7,114.75,0,0,0,0.04965989,
18-Aug-2015 03:08:00,7,114.79,0,0,0,0.04965989,
18-Aug-2015 03:09:00,7,114.83,0,0,0,0.04965989,
18-Aug-2015 03:10:00,7,114.87,0,0,0,0.04965989,
18-Aug-2015 03:11:00,7,114.91,0,0,0,0.04965989,
18-Aug-2015 03:12:00,7,114.95,0,0,0,0.04965989,
18-Aug-2015 03:13:00,7,114.99,0,0,0,0.04965989,
18-Aug-2015 03:14:00,7,115.03,0,0,0,0.04965989,
18-Aug-2015 03:15:00,7,115.07,0,0,0,0.04965989,
18-Aug-2015 03:16:00,7,115.11,0,0,0,0.04965989,
18-Aug-2015 03:17:00,7,115.14,0,0,0,0.04965989,
18-Aug-2015 03:18:00,7,115.18,0,0,0,0.04965989,
18-Aug-2015 03:19:00,7,115.22,0,0,0,0.04965989,
18-Aug-2015 03:20:00,7,115.26,0,0,0,0.04965989,
18-Aug-2015 03:21:00,7,115.3,0,0,0,0.04965989,
18-Aug-2015 03:22:00,7,115.34,0,0,0,0.04965989,
18-Aug-2015 03:23:00,7,115.38,0,0,0,0.04965989,
18-Aug-2015 03:24:00,7,115.42,0,0,0,0.04965989,
18-Aug-2015 03:25:00,7,115.46,0,0,0,0.04965989,
18-Aug-2015 03:26:00,7,115.5,0,0,0,0.04965989,
18-Aug-2015 03:27:00,7,115.54,0,0,0,0.04965989,
18-Aug-2015 03:28:00,7,115.58,0,0,0,0.04965989,
18-Aug-2015 03:29:00,7,115.62,0,0,0,0.04965989,
18-Aug-2015 03:30:00,7,115.66,0,0,0,0.04965989,
18-Aug-2015 03:31:00,7,115.7,0,0,0,0.04965989,
18-Aug-2015 03:32:00,7,115.74,0,0,0,0.04965989,
18-Aug-2015 03:33:00,7,115.78,0,0,0,0.04965989,
18-Aug-2015 03:34:00,7,115.82,0,0,0,0.04965989,
18-Aug-2015 03:35:00,7,115.86,0,0,0,0.04965989,
18-Aug-2015 03:36:00,7,115.89,0,0,0,0.04965989,
18-Aug-2015 03:37:00,7,115.93,0,0,0,0.04965989,
18-Aug-2015 03:38:00,7,115.97,0,0,0,0.04965989,
18-Aug-2015 03:39:00,7,116.01,0,0,0,0.04965989,
18-Aug-2015 03:40:00,7,116.05,0,0,0,0.04965989,
18-Aug-2015 03:41:00,7,116.09,0,0,0,0.04965989,
18-Aug-2015 03:42:00,7,116.13,0,0,0,0.04965989,
18-Aug-2015 03:43:00,7,116.17,0,0,0,0.04965989,
18-Aug-2015 03:44:00,7,116.21,0,0,0,0.04965989,
18-Aug-2015 03:45:00,7,116.25,0,0,0,0.04965989,
18-Aug-2015 03:46:00,7,116.29,0,0,0,0.04965989,
18-Aug-2015 03:47:00,7,116.33,0,0,0,0.04965989,
18-Aug-2015 03:48:00,7,116.37,0,0,0,0.04965989,
18-Aug-2015 03:49:00,7,116.41,0,0,0,0.04965989,
18-Aug-2015 03:50:00,7,116.45,0,0,0,0.04965989,
18-Aug-2015 03:51:00,7,116.49,0,0,0,0.04965989,
18-Aug-2015 03:52:00,7,116.53,0,0,0,0.04965989,
18-Aug-2015 03:53:00,7,116.57,0,0,0,0.04965989,
18-Aug-2015 03:54:00,7,116.61,0,0,0,0.04965989,
18-Aug-2015 03:55:00,7,116.64,0,0,0,0.04965989,
18-Aug-2015 03:56:00,7,116.68,0,0,0,0.04965989,
18-Aug-2015 03:57:00,7,116.72,0,0,0,0.04965989,
18-Aug-2015 03:58:00,7,116.76,0,0,0,0.04965989,
18-Aug-2015 03:59:00,7,116.8,0,0,0,0.04965989,
18-Aug-2015 04:00:00,7,116.84,0,0,0,0.04965989,
18-Aug-2015 04:01:00,7,116.88,0,0,0,0.04965989,
18-Aug-2015 04:02:00,7,116.92,0,0,0,0.04965989,
18-Aug-2015 04:03:00,7,116.96,0,0,0,0.04965989,
18-Aug-2015 04:04:00,7,117,0,0,0,0.04965989,
18-Aug-2015 04:05:00,7,117.04,0,0,0,0.04965989,
18-Aug-2015 04:06:00,7,117.08,0,0,0,0.04965989,
18-Aug-2015 04:07:00,7,117.12,0,0,0,0.04965989,
18-Aug-2015 04:08:00,7,117.16,0,0,0,0.04965989,
18-Aug-2015 04:09:00,7,117.2,0,0,0,0.04965989,
18-Aug-2015 04:10:00,7,117.24,0,0,0,0.04965989,
18-Aug-2015 04:11:00,7,117.28,0,0,0,0.04965989,
18-Aug-2015 04:12:00,7,117.32,0,0,0,0.04965989,
18-Aug-2015 04:13:00,7,117.36,0,0,0,0.04965989,
18-Aug-2015 04:14:00,7,117.39,0,0,0,0.04965989,
18-Aug-2015 04:15:00,7,117.43,0,0,0,0.04965989,
18-Aug-2015 04:16:00,7,117.47,0,0,0,0.04965989,
18-Aug-2015 04:17:00,7,117.51,0,0,0,0.04965989,
18-Aug-2015 04:18:00,7,117.55,0,0,0,0.04965989,
18-Aug-2015 04:19:00,7,117.59,0,0,0,0.04965989,
18-Aug-2015 04:20:00,7,117.63,0,0,0,0.04965989,
18-Aug-2015 04:21:00,7,117.67,0,0,0,0.04965989,
18-Aug-2015 04:22:00,7,117.71,0,0,0,0.04965989,
18-Aug-2015 04:23:00,7,117.75,0,0,0,0.04965989,
18-Aug-2015 04:24:00,7,117.79,0,0,0,0.04965989,
18-Aug-2015 04:25:00,7,117.83,0,0,0,0.04965989,
18-Aug-2015 04:26:00,7,117.87,0,0,0,0.04965989,
18-Aug-2015 04:27:00,7,117.91,0,0,0,0.04965989,
18-Aug-2015 04:28:00,7,117.95,0,0,0,0.04965989,
18-Aug-2015 04:29:00,7,117.99,0,0,0,0.04965989,
18-Aug-2015 04:30:00,7,118.03,0,0,0,0.04965989,
18-Aug-2015 04:31:00,7,118.07,0,0,0,0.04965989,
18-Aug-2015 04:32:00,7,118.11,0,0,0,0.04965989,
18-Aug-2015 04:33:00,7,118.14,0,0,0,0.04965989,
18-Aug-2015 04:34:00,7,118.18,0,0,0,0.04965989,
18-Aug-2015 04:35:00,7,118.22,0,0,0,0.04965989,
18-Aug-2015 04:36:00,7,118.26,0,0,0,0.04965989,
18-Aug-2015 04:37:00,7,118.3,0,0,0,0.04965989,
18-Aug-2015 04:38:00,7,118.34,0,0,0,0.04965989,
18-Aug-2015 04:39:00,7,118.38,0,0,0,0.04965989,
18-Aug-2015 04:40:00,7,118.42,0,0,0,0.04965989,
18-Aug-2015 04:41:00,7,118.46,0,0,0,0.04965989,
18-Aug-2015 04:42:00,7,118.5,0,0,0,0.04965989,
18-Aug-2015 04:43:00,7,118.54,0,0,0,0.04965989,
18-Aug-2015 04:44:00,7,118.58,0,0,0,0.04965989,
18-Aug-2015 04:45:00,7,118.62,0,0,0,0.04965989,
18-Aug-2015 04:46:00,7,118.66,0,0,0,0.04965989,
18-Aug-2015 04:47:00,7,118.7,0,0,0,0.04965989,
18-Aug-2015 04:48:00,7,118.74,0,0,0,0.04965989,
18-Aug-2015 04:49:00,7,118.78,0,0,0,0.04965989,
18-Aug-2015 04:50:00,7,118.82,0,0,0,0.04965989,
18-Aug-2015 04:51:00,7,118.86,0,0,0,0.04965989,
18-Aug-2015 04:52:00,7,118.89,0,0,0,0.04965989,
18-Aug-2015 04:53:00,7,118.93,0,0,0,0.04965989,
18-Aug-2015 04:54:00,7,118.97,0,0,0,0.04965989,
18-Aug-2015 04:55:00,7,119.01,0,0,0,0.04965989,
18-Aug-2015 04:56:00,7,119.05,0,0,0,0.04965989,
18-Aug-2015 04:57:00,7,119.09,0,0,0,0.04965989,
18-Aug-2015 04:58:00,7,119.13,0,0,0,0.04965989,
18-Aug-2015 04:59:00,7,119.17,0,0,0,0.04965989,
18-Aug-2015 05:00:00,7,119.21,0,0,0,0.04965989,
18-Aug-2015 05:01:00,7,119.25,0,0,0,0.04965989,
18-Aug-2015 05:02:00,7,119.29,0,0,0,0.04965989,
18-Aug-2015 05:03:00,7,119.33,0,0,0,0.04965989,
18-Aug-2015 05:04:00,7,119.37,0,0,0,0.04965989,
18-Aug-2015 05:05:00,7,119.41,0,0,0,0.04965989,
18-Aug-2015 05:06:00,7,119.45,0,0,0,0.04965989,
18-Aug-2015 05:07:00,7,119.49,0,0,0,0.04965989,
18-Aug-2015 05:08:00,7,119.53,0,0,0,0.04965989,
18-Aug-2015 05:09:00,7,119.57,0,0,0,0.04965989,
18-Aug-2015 05:10:00,7,119.61,0,0,0,0.04965989,
18-Aug-2015 05:11:00,7,119.64,0,0,0,0.04965989,
18-Aug-2015 05:12:00,7,119.68,0,0,0,0.04965989,
18-Aug-2015 05:13:00,7,119.72,0,0,0,0.04965989,
18-Aug-2015 05:14:00,7,119.76,0,0,0,0.04965989,
18-Aug-2015 05:15:00,7,119.8,0,0,0,0.04965989,
18-Aug-2015 05:16:00,7,119.84,0,0,0,0.04965989,
18-Aug-2015 05:17:00,7,119.88,0,0,0,0.04965989,
18-Aug-2015 05:18:00,7,119.92,0,0,0,0.04965989,
18-Aug-2015 05:19:00,7.49794197,119.96,0,0,0,0.04965989,
18-Aug-2015 05:20:00,7.9979167,120,0,0,0,0.04965989,
18-Aug-2015 05:21:00,8,120.31,0,0,0,0.04965989,
18-Aug-2015 05:22:00,8,120.63,0,0,0,0.04965989,
18-Aug-2015 05:23:00,8,120.95,0,0,0,0.04965989,
18-Aug-2015 05:24:00,8,121.26,0,0,0,0.04965989,
18-Aug-2015 05:25:00,8,121.58,0,0,0,0.04965989,
18-Aug-2015 05:26:00,8,121.89,0,0,0,0.04965989,
18-Aug-2015 05:27:00,8,122.21,0,0,0,0.04965989,
18-Aug-2015 05:28:00,8,122.53,0,0,0,0.04965989,
18-Aug-2015 05:29:00,8,122.84,0,0,0,0.04965989,
18-Aug-2015 05:30:00,8,123.16,1.03828442,0,0,0.04965989,
18-Aug-2015 05:31:00,8,123.47,1.04288983,0,0,0.04965989,
18-Aug-2015 05:32:00,8,123.79,1.04288983,0,0,0.04965989,
18-Aug-2015 05:33:00,8,124.1,1.04288983,0,0,0.04965989,
18-Aug-2015 05:34:00,8,124.42,1.04288983,0,0,0.04965989,
18-Aug-2015 05:35:00,8,124.74,1.04288983,0,0,0.04965989,
18-Aug-2015 05:36:00,8,125.05,1.04288983,0,0,0.04965989,
18-Aug-2015 05:37:00,8,125.37,1.04288983,0,0,0.04965989,
18-Aug-2015 05:38:00,8,125.68,1.04288983,0,0,0.04965989,
18-Aug-2015 05:39:00,8,126,1.04288983,0,0,0.04965989,
18-Aug-2015 05:40:00,8,126.31,1.04288983,0,0,0.04965989,
18-Aug-2015 05:41:00,8,126.63,1.04288983,0,0,0.04965989,
18-Aug-2015 05:42:00,8,126.95,1.04288983,0,0,0.04965989,
18-Aug-2015 05:43:00,8,127.26,1.04288983,0,0,0.04965989,
18-Aug-2015 05:44:00,8,127.58,1.04288983,0,0,0.04965989,
18-Aug-2015 05:45:00,8,127.89,1.04288983,0,0,0.04965989,
18-Aug-2015 05:46:00,8,128.21,1.04288983,0,0,0.04965989,
18-Aug-2015 05:47:00,8,128.52,1.04288983,0,0,0.04965989,
18-Aug-2015 05:48:00,8,128.84,1.04288983,0,0,0.04965989,
18-Aug-2015 05:49:00,8,129.16,1.04288983,0,0,0.04965989,
18-Aug-2015 05:50:00,8,129.47,1.04288983,0,0,0.04965989,
18-Aug-2015 05:51:00,8,129.79,1.04288983,0,0,0.04965989,
18-Aug-2015 05:52:00,8,130.1,1.04288983,0,0,0.04965989,
18-Aug-2015 05:53:00,8,130.42,1.04288983,0,0,0.04965989,
18-Aug-2015 05:54:00,8,130.74,1.04288983,0,0,0.04965989,
18-Aug-2015 05:55:00,8,131.05,1.04288983,0,0,0.04965989,
18-Aug-2015 05:56:00,8,131.37,1.04288983,0,0,0.04965989,
18-Aug-2015 05:57:00,8,131.68,1.04288983,0,0,0.04965989,
18-Aug-2015 05:58:00,8.9958334,132,1.04288983,0,0,0.04965989,
18-Aug-2015 05:59:00,9,115.64,1.04288983,0,0,0.04965989,
18-Aug-2015 06:00:00,9,99.209,1.21151352,0.00382614,0,0.04965995,
18-Aug-2015 06:01:00,9,82.779,1.21218228,0.00384132,0,0.04965995,
18-Aug-2015 06:02:00,9,66.349,1.21218228,0.00384132,0,0.04965995,
18-Aug-2015 06:03:00,9,49.919,1.21218228,0.00384132,0,0.04965995,
18-Aug-2015 06:04:00,9,33.489,1.21218228,0.00384132,0,0.04965995,
18-Aug-2015 06:05:00,13.98208618,17.059,1.21218228,0.00384132,0,0.04965995,
18-Aug-2015 06:06:00,14.99664879,71.312,1.21218228,0.00384132,0,0.04965995,
18-Aug-2015 06:07:00,15,125.82,1.21218228,0.00384132,0,0.04965995,
18-Aug-2015 06:08:00,15,126.25,1.21218228,0.00384132,0,0.04965995,
18-Aug-2015 06:09:00,15,126.5,1.21218228,0.00384132,0,0.04965995,
18-Aug-2015 06:10:00,15,126.75,1.59836709,0.01702124,0,0.04966,
18-Aug-2015 06:11:00,15,127,1.59958744,0.01706288,0,0.04966,
18-Aug-2015 06:12:00,15,127.25,1.59958744,0.01706288,0,0.04966,
18-Aug-2015 06:13:00,15,127.5,1.59958744,0.01706288,0,0.04966,
18-Aug-2015 06:14:00,15,127.75,1.59958744,0.01706288,0,0.04966,
18-Aug-2015 06:15:00,15,128,1.59958744,0.01706288,0,0.04966,
18-Aug-2015 06:16:00,15,128.25,1.59958744,0.01706288,0,0.04966,
18-Aug-2015 06:17:00,15,128.5,1.59958744,0.01706288,0,0.04966,
18-Aug-2015 06:18:00,15,128.75,1.59958744,0.01706288,0,0.04966,
18-Aug-2015 06:19:00,15,129,1.59958744,0.01706288,0,0.04966,
18-Aug-2015 06:20:00,15,129.25,1.59958744,0.01706288,0,0.04966,
18-Aug-2015 06:21:00,15,129.5,1.59958744,0.01706288,0,0.04966,
18-Aug-2015 06:22:00,15,129.75,1.59958744,0.01706288,0,0.04966,
18-Aug-2015 06:23:00,15,130,1.59958744,0.01706288,0,0.04966,
18-Aug-2015 06:24:00,15,130.25,1.59958744,0.01706288,0,0.04966,
18-Aug-2015 06:25:00,15,130.5,1.59958744,0.01706288,0,0.04966,
18-Aug-2015 06:26:00,15,130.75,1.59958744,0.01706288,0,0.04966,
18-Aug-2015 06:27:00,15,131,1.59958744,0.01706288,0,0.04966,
18-Aug-2015 06:28:00,15,131.25,1.59958744,0.01706288,0,0.04966,
18-Aug-2015 06:29:00,15,131.5,1.59958744,0.01706288,0,0.04966,
18-Aug-2015 06:30:00,15,131.75,1.59958744,0.01706288,0,0.04966,
18-Aug-2015 06:31:00,9.02089882,132,1.59958744,0.01706288,0,0.04966,
18-Aug-2015 06:32:00,9,132.03,1.59958744,0.01706288,0,0.04966,
18-Aug-2015 06:33:00,9,132.06,1.59958744,0.01706288,0,0.04966,
18-Aug-2015 06:34:00,9,132.09,1.59958744,0.01706288,0,0.04966,
18-Aug-2015 06:35:00,9,132.11,1.59958744,0.01706288,0,0.04966,
18-Aug-2015 06:36:00,9,132.14,1.59958744,0.01706288,0,0.04966,
18-Aug-2015 06:37:00,9,132.17,1.59958744,0.01706288,0,0.04966,
18-Aug-2015 06:38:00,9,132.2,1.59958744,0.01706288,0,0.04966,
